doc_id,publisher,title,year,file_type,license,allowed_use,signal_tag,disease_tags,section_schema,source_path,priority
KDCA_WFBD_MANUAL_2026,KDCA,2026년도 수인성 및 식품매개감염병 관리지침,2026,pdf,KDCA-owned,summary_allowed,waterborne_foodborne_infection,"cholera,typhoid_fever,paratyphoid_fever,shigellosis,ehec,stec,vibrio_vulnificus,salmonellosis,vibrio_parahaemolyticus,etec,eiec,epec,campylobacteriosis,clostridium_perfringens,staphylococcal_food_poisoning,bacillus_cereus,yersiniosis,listeriosis,eaec,hepatitis_a,hepatitis_e,rotavirus,astrovirus,adenovirus,norovirus,sapovirus,amoebiasis,giardiasis,cryptosporidiosis,cyclosporiasis","총론;발생현황;수행체계;감시체계;역학조사;실험실검사의뢰;환자및접촉자관리;방역관리;홍보교육자료;용어정의;수인성식품매개감염병분류","./docs_raw/2026년도 수인성 및 식품매개감염병 관리지침.pdf",1
KSID_AST_GI_ABX_2019,KSID/KSCAT,급성위장관계 감염 항생제 사용지침,2019,pdf,CC_BY_NC_4.0,summary_allowed,acute_gastroenteritis_antibiotics,"infectious_diarrhea,traveler_diarrhea,shigella,salmonella,campylobacter,ehec,clostridioides_difficile","총론/역학/진단/항생제적응증/경험적치료/병원체별치료/특수상황","./docs_raw/급성위장관계 감염 항생제 사용지침.pdf",2
KSID_GI_GUIDELINE_2010,KSID/KSC,소화기계 감염 진료지침 권고안,2010,pdf,ACADEMIC_NON_COMMERCIAL,summary_allowed,gastrointestinal_infection_guideline,"infectious_diarrhea,enteric_fever,hepatobiliary_infection,intraabdominal_infection","총론/진단원칙/치료원칙/질환별각론/항생제치료/특수감염","./docs_raw/소화기계 감염 진료지침 권고안.pdf",3
HCI_GUIDE_STD_2017,KCDC,의료관련감염 표준예방지침,2017,pdf,KCDC-owned,summary_allowed,infection_control,"healthcare_associated_infection,standard_precautions,hand_hygiene,aseptic_technique,isolation_precautions","chapter>section>recommendation","./docs_raw/의료관련감염 표준예방지침.pdf",1
KOREA_CAP_ANTIBIOTIC_2017,KCDC,성인 지역사회획득 폐렴 항생제 사용지침,2017,pdf,KCDC-owned,summary_allowed,cap_antibiotics,"pneumonia,community_acquired_pneumonia,cap,streptococcus_pneumoniae,influenza,antibiotics","총론/진단/치료/항생제선택","./docs_raw/성인 지역사회획득 폐렴 항생제 사용지침(2017).pdf",2
KOREA_CAP_TREATMENT_2009,KSID/KSC/KATRD,지역사회획득 폐렴 치료지침 권고안,2009,pdf,ACADEMIC_NON_COMMERCIAL,summary_allowed,cap_treatment,"pneumonia,community_acquired_pneumonia,cap,streptococcus_pneumoniae","총론/진단/치료/항생제","./docs_raw/지역사회획득 폐렴 치료지침 권고안(2009).pdf",3
KOREA_PNEUMONIA_EVALUATION_2019,HIRA,폐렴 4차 적정성 평가 세부계획,2019,pdf,HIRA-owned,summary_allowed,quality_assessment,"pneumonia,quality_assessment,healthcare_evaluation,community_acquired_pneumonia","평가개요/평가지표/평가방법","./docs_raw/폐렴 4차 적정성 평가 세부계획.pdf",3
KOREA_HAI_GUIDELINE_2024,KDCA,2024년도 의료관련감염병 관리지침,2024,pdf,KDCA-owned,summary_allowed,infection_management,"vrsa,visa,cre,cpe,mre,infection_control,healthcare_associated_infection","총론/감시체계/역학조사/환자관리","./docs_raw/++2024년도 의료관련감염병 관리지침_전자용.pdf",1
KOREA_RESPIRATORY_INFECTION_2026,KDCA,2026년도 호흡기감염병 관리지침,2026,pdf,KDCA-owned,summary_allowed,respiratory_infection,"meningococcal_disease,scarlet_fever,acute_respiratory_infection,mycoplasma_pneumoniae,rsv,rhinovirus,adenovirus","총론/감시체계/역학조사/환자관리/예방","./docs_raw/2026년도 호흡기감염병 관리지침.pdf",1
KOREA_SFTS_INVESTIGATION_2025,KDCA/MAFRA/ME,중증열성혈소판감소증후군(SFTS) 공동 역학조사 매뉴얼,2025,pdf,KDCA-owned,summary_allowed,sfts_investigation,"sfts,severe_fever_with_thrombocytopenia_syndrome,zoonosis,tick_borne_disease,joint_investigation","총론/역학조사절차/검체채취/기관별역할","./docs_raw/중증열성혈소판감소증후군(SFTS) 공동 역학조사 매뉴얼.pdf",1
